1761265360,608,446.4105377,,Metrics,Value,Rounded,Simulated,% Change
1761272742,925516,708.7710571,,,,,,
1761272773,927240,483.9228989,,,,,,
1761272786,929500,321.1083298,,,,,,
1761272847,937068,515.2905884,,,,,,
1761272858,939408,525.2595871,,,,,,
1761272860,939688,462.3057404,,,,,,
1761272907,944528,630.9780273,,,,,,
1761272919,946656,649.4439697,,,,,,
1761272924,947748,215.1061478,,,,,,
1761272963,950656,271.6893082,,,,,,
1761272996,957212,650.3311768,,,,,,
1761273062,964976,132.7615013,,,,,,
1761273069,966352,673.3945313,,,,,,
1761273098,967392,450.1121521,,,,,,
1761273103,968428,381.8910599,,,,,,
1761273116,970816,846.5266724,,,,,,
1761273129,973204,528.4611206,,,,,,
1761273187,979460,656.3114624,,,,,,
1761273233,983736,573.1875427,,,,,,
1761273253,987596,281.5535431,,,,,,
1761273257,988328,15.50249147,,,,,,
1761273267,990140,213.7146606,,,,,,
1761273315,994620,174.4646301,,,,,,
1761273323,996044,505.9165085,,,,,,
1761273372,1000924,562.3061523,,,,,,
1761273440,1009868,0,,,,,,
1761273461,1013968,596.6747437,,,,,,
1761273498,1016416,426.4220123,,,,,,
1761273564,1024160,259.7488861,,,,,,
1761273597,1031008,317.2619705,,,,,,
1761273657,1037608,685.8136597,,,,,,
1761273669,1039888,715.512146,,,,,,
1761273719,1044692,0,,,,,,
1761273727,1046200,4.557045221,,,,,,
1761273731,1046760,520.3356323,,,,,,
1761273772,1050036,42.23583698,,,,,,
1761273786,1052872,476.9508484,,,,,,
1761273801,1055576,144.8024025,,,,,,
1761273803,1056012,227.241806,,,,,,
1761273847,1060116,592.5892334,,,,,,
1761273851,1060900,509.41745,,,,,,
1761273851,1060976,829.9464111,,,,,,
1761273854,1061520,193.8697357,,,,,,
1761273899,1065296,437.0653839,,,,,,
1761273903,1066164,614.1993408,,,,,,
1761273920,1069220,504.2920914,,,,,,
1761273971,1074548,458.8201447,,,,,,
1761273995,1079244,509.2366913,,,,,,
1761274042,1083960,442.361496,,,,,,
1761274135,1097288,0,,,,,,
1761274191,1103340,785.3519287,,,,,,
1761274206,1105832,0,,,,,,
1761274266,1112916,798.6629639,,,,,,
1761274304,1115572,186.8032265,,,,,,
1761274369,1123376,0,,,,,,
1761274390,1127100,94.20951462,,,,,,
1761274392,1127392,466.7949951,,,,,,
1761274399,1128692,267.6913605,,,,,,
1761274409,1130392,732.7074585,,,,,,
1761274439,1131712,500.6618347,,,,,,
1761274444,1132672,600.1779785,,,,,,
1761274457,1134924,724.4242554,,,,,,
1761274508,1140472,110.1532516,,,,,,
1761274523,1143420,691.1868286,,,,,,
1761274566,1147068,548.9838257,,,,,,
1761274568,1147708,667.5687866,,,,,,
1761274633,1156220,415.7823456,,,,,,
1761274652,1160532,725.9312134,,,,,,
1761274706,1166660,11.6809094,,,,,,
1761274710,1167436,152.3834038,,,,,,
1761274772,1174644,0,,,,,,
1761274779,1176132,554.2255249,,,,,,
1761274780,1176212,13.57902861,,,,,,
1761274824,1179692,538.7748947,,,,,,
1761274846,1183960,32.85927486,,,,,,
1761274852,1185208,673.1587524,,,,,,
1761274905,1191352,209.5709152,,,,,,
1761274953,1196844,799.5477905,,,,,,
1761274978,1201808,218.88517,,,,,,
1761275017,1204884,38.92222023,,,,,,
1761275018,1205188,346.4732208,,,,,,
1761275025,1206624,82.75962639,,,,,,
1761275041,1209240,608.9966431,,,,,,
1761275085,1212932,777.3157349,,,,,,
1761275086,1213316,459.9168945,,,,,,
1761275091,1214452,484.0999893,,,,,,
1761275107,1217204,646.5352783,,,,,,
1761275159,1223056,796.7400513,,,,,,
1761275164,1224088,405.2092102,,,,,,
1761275166,1224276,686.3751831,,,,,,
1761275189,1228736,796.9744263,,,,,,
1761275217,1229584,16.6882453,,,,,,
1761275239,1233792,535.4570282,,,,,,
1761275245,1234808,567.1720581,,,,,,
1761275356,1246940,336.3000641,,,,,,
1761275418,1254148,627.9326782,,,,,,
1761275428,1256284,0,,,,,,
1761275446,1259768,805.4891357,,,,,,
1761275449,1260244,440.8619476,,,,,,
1761275514,1268044,551.2372437,,,,,,
1761275549,1270052,118.110363,,,,,,
1761275554,1271296,452.1215515,,,,,,
1761275572,1274648,748.6838989,,,,,,
1761275590,1277932,27.4603014,,,,,,
1761275644,1284240,717.5804443,,,,,,
1761275711,1293032,0,,,,,,
1761275758,1297580,320.1653824,,,,,,
1761275761,1298100,584.388855,,,,,,
1761275777,1301384,573.3106567,,,,,,
1761275833,1307588,651.1418457,,,,,,
1761275841,1309032,298.0427628,,,,,,
1761275912,1317744,561.0377808,,,,,,
1761275943,1318980,667.3422241,,,,,,
1761275958,1321812,460.8222458,,,,,,
1761275981,1325912,110.6742897,,,,,,
1761276025,1330004,707.1619873,,,,,,
1761276050,1334532,126.0063171,,,,,,
1761276079,1335500,0,,,,,,
1761276090,1337604,455.3995087,,,,,,
1761276094,1338312,566.5428467,,,,,,
1761276117,1342512,551.6168304,,,,,,
1761276148,1343876,658.6865845,,,,,,
1761276151,1344476,685.7036133,,,,,,
1761276184,1351032,455.3986816,,,,,,
1761276222,1353796,590.038269,,,,,,
1761276229,1355140,691.6990356,,,,,,
1761276288,1361580,702.8630981,,,,,,
1761276296,1363300,3.264742255,,,,,,
1761276297,1363344,92.17874908,,,,,,
1761276302,1364404,657.9821167,,,,,,
1761276314,1366772,627.7971191,,,,,,
1761276377,1374856,644.6600952,,,,,,
1761276382,1375936,168.5937996,,,,,,
1761276425,1379628,84.47482681,,,,,,
1761276440,1382232,228.4147339,,,,,,
1761276486,1386644,748.3467407,,,,,,
1761276492,1387676,632.1359863,,,,,,
1761276518,1392360,427.6538086,,,,,,
1761276565,1397052,547.7447754,,,,,,
1761276581,1400056,372.8264008,,,,,,
1761276615,1402200,439.2914886,,,,,,
1761276631,1404984,645.208252,,,,,,
1761276645,1407560,827.6987305,,,,,,
1761276695,1412572,596.4697876,,,,,,
1761276701,1413796,422.6375641,,,,,,
1761276717,1416760,497.3394836,,,,,,
