StepV,ValueV,StepF,ValueF,StepL,ValueL
6246672,297.1725677,7625696,101.0124664,8580880,616.5079346
6270640,542.032196,7633056,118.0155563,8635712,511.8115845
6277888,287.0456451,7636064,231.6713715,8712400,61.71387482
6300608,343.1661163,7724288,66.08122253,8756480,203.6894379
6325184,545.4533936,7756240,415.0817261,8790832,357.1284485
6336464,454.3821716,7806016,48.62884521,8830416,41.98911285
6351040,393.0261108,7839904,395.9709778,8864704,95.54888153
6369664,498.1035828,7888112,31.58957291,8924400,606.3843384
6372000,435.4293274,7934720,575.5250854,8951600,512.6661377
6403760,533.5326233,7961984,204.5964203,8970480,668.7798462
6598304,95.80222321,7962544,130.3638916,8986912,151.2327576
6601104,0,7986400,311.9742737,9040976,449.4473572
6610432,0,7989984,0,9074688,292.9810181
6685888,424.0125275,8026192,349.9711304,9111376,37.57165146
6746848,456.9350098,8039184,54.86509323,9147904,213.2509003
6764240,645.8223999,8051968,702.4265747,9166144,270.2286072
6804368,276.0729675,8055072,349.9409485,9182688,61.79818344
6805232,3.896692228,8058912,587.4840088,9306816,555.6478271
6844752,509.9278931,8076048,345.315033,9409600,1.563105345
6855232,560.2657104,8103968,648.4556885,9415744,0
6857920,356.346991,8170784,424.7536926,9453888,9.665869713
6872224,0,8174240,0,9474576,556.4008179
6907648,326.223111,8213776,227.4608154,9518048,438.2415771
6949408,202.860997,8261840,105.2006302,9614096,0
6964144,287.2144226,8341648,347.2589722,9630240,310.9021912
7068816,443.2337677,8344352,385.536377,9651856,95.09293365
7104112,387.7394623,8348352,108.2207413,9681184,319.0145874
7105760,365.9892242,8389568,298.6472168,9702800,435.6085205
7106272,344.4320435,8451280,0,9736000,279.0955811
7154592,13.34403191,8481856,319.7327881,9749264,572.6603394
7185552,246.8753174,8498368,394.8849792,9797600,571.7425537
7219376,1.413044679,8526880,49.51430511,9831296,130.8351898
7220880,177.6417297,8554864,410.073822,9839216,28.05350113
7278464,0,8566752,106.9415359,9883024,0
7309600,181.7037048,8572800,142.2218781,9892976,586.8742676
7342672,365.3178223,8588080,577.3397827,9931264,370.9733887
7366016,363.0070953,8604224,548.3184204,9977664,135.8956604
7370320,25.00008831,8654352,142.397644,10019296,627.2565918
7378880,76.24090118,8671088,48.35000992,10033600,116.4882507
7413968,363.5057373,8700736,388.502594,10070720,478.603363
7437072,495.6068298,8716864,15.81687737,10135584,274.9590759
7456704,72.42885818,8763856,286.7410583,10151840,222.8387604
7476640,425.1119293,8782192,151.9597015,10243408,176.230896
7483504,1.373570931,8822704,604.9146118,10270240,425.6100769
7534976,364.8564789,8829024,139.8611298,10312704,579.7335815
7540128,161.1014694,8868608,558.0418701,10339440,533.0873413
7562864,283.3563538,8904496,157.2043304,10367312,578.8742065
7595872,8.583732319,8918240,35.53516769,10373344,87.24449158
7603328,43.94240799,8942608,505.3965149,10391760,849.8574219
7609120,23.07972965,8982416,157.9413757,10442192,275.2714233
7615776,69.56556015,8987248,0,10460976,551.1447754
7631648,414.2609253,8991744,7.386719227,10496928,305.8800964
7649024,342.9464447,9090496,182.2912292,10571744,390.5942993
7729872,0,9107584,360.230896,10627536,99.90341949
7734960,297.7158417,9109568,405.4860535,10660256,184.8081665
7742640,0,9118816,409.1465759,10668704,343.3493042
