256016,0,,Metrics,Value,Rounded
5727680,125.5019595,,,,
5770864,45.62023842,,,,
5781056,341.3817474,,,,
5806208,294.2695705,,,,
5806256,445.5444106,,,,
5845744,326.6924921,,,,
5893072,488.3262443,,,,
5936624,10.95288943,,,,
6006336,0,,,,
6012816,376.7385146,,,,
6016544,8.767261976,,,,
6059248,358.2593961,,,,
6072864,314.1564466,,,,
6126800,0,,,,
6134368,556.7557469,,,,
6144832,603.4816458,,,,
6246672,310.0001606,,,,
6270640,565.4292692,,,,
6277888,299.4361046,,,,
6300608,357.9790422,,,,
6325184,568.9981444,,,,
6336464,473.9957905,,,,
6351040,409.9912667,,,,
6369664,519.6044569,,,,
6372000,454.2248379,,,,
6403760,556.5628085,,,,
6598304,102.4769683,,,,
6601104,0,,,,
6610432,0,,,,
6685888,442.3152265,,,,
6746848,476.6588232,,,,
6764240,673.6996258,,,,
6804368,287.9897862,,,,
6805232,4.270347647,,,,
6844752,531.9391691,,,,
6855232,584.4498418,,,,
6857920,371.7288755,,,,
6872224,0,,,,
6907648,340.3046841,,,,
6949408,216.994755,,,,
6964144,299.6121675,,,,
7068816,462.3661606,,,,
7104112,404.4764175,,,,
7105760,381.7873202,,,,
7106272,359.2996137,,,,
7154592,14.62359661,,,,
7185552,264.0756469,,,,
7219376,1.548542114,,,,
7220880,190.0184076,,,,
7278464,0,,,,
7309600,194.3633892,,,,
7342672,381.0869369,,,,
7366016,378.6764663,,,,
7370320,27.39735705,,,,
7378880,83.55167253,,,,
7413968,379.1966324,,,,
7437072,516.9999304,,,,
7456704,79.37409116,,,,
7476640,443.4620845,,,,
7483504,1.505283212,,,,
7534976,380.6056794,,,,
7540128,172.3257521,,,,
7562864,295.5875633,,,,
7595872,9.406829939,,,,
7603328,48.15606355,,,,
7609120,25.29285441,,,,
7615776,76.2362303,,,,
7631648,432.1426919,,,,
7649024,357.7498884,,,,
7729872,0,,,,
7734960,310.5668852,,,,
7742640,0,,,,
7765632,0,,,,
7786768,423.6219102,,,,
7794800,272.8266943,,,,
7811952,366.879942,,,,
7815744,2.078670893,,,,
7861808,64.75557761,,,,
7903264,265.6173908,,,,
7914208,174.9841492,,,,
8007680,570.8336674,,,,
8038112,613.374113,,,,
8243248,279.1613928,,,,
8249088,119.6406032,,,,
8299296,287.391144,,,,
8322800,0,,,,
8371984,278.0550813,,,,
8379392,118.7014239,,,,
8443600,539.8731988,,,,
8463680,290.0957784,,,,
8495360,0,,,,
8682192,366.4854409,,,,
8696320,508.2578166,,,,
8722816,461.9096006,,,,
8769456,52.82229948,,,,
8805200,604.9860732,,,,
8829280,106.5553683,,,,
8885056,165.7810598,,,,
8932848,518.5928334,,,,
9026368,345.2847263,,,,
9047200,112.0245755,,,,
9070144,512.435362,,,,
9072096,104.0363619,,,,
9082928,90.79839074,,,,
9135808,576.0816861,,,,
9138848,162.3076775,,,,
9142096,527.385259,,,,
9164656,0,,,,
9167632,396.0934776,,,,
9174912,106.2175123,,,,
9246096,401.3248213,,,,
9272432,561.533711,,,,
9274944,447.052878,,,,
9372112,206.4641123,,,,
9428176,258.9643913,,,,
9463552,499.6473274,,,,
9479728,236.1439835,,,,
9486160,423.6411352,,,,
9496656,265.9491726,,,,
9516800,189.3442527,,,,
9526656,161.2932501,,,,
9551632,28.82209005,,,,
9617856,0,,,,
9680752,68.12305272,,,,
9690016,404.4764175,,,,
9715968,482.6139011,,,,
9724016,414.6192979,,,,
9760944,402.4686137,,,,
9790176,158.0158875,,,,
9807488,197.9854313,,,,
9816480,106.023564,,,,
9843744,230.1483338,,,,
9862496,185.9486672,,,,
9900928,74.86005726,,,,
9910960,107.7409823,,,,
9961616,220.9372091,,,,
10020272,333.4458265,,,,
10040656,433.7080036,,,,
10042304,306.3331258,,,,
10105728,439.3820112,,,,
10115824,0,,,,
10117392,81.01395865,,,,
10123552,34.45296698,,,,
10215888,174.1131374,,,,
10255392,0,,,,
10290208,0,,,,
10358432,50.85155916,,,,
10388592,177.537647,,,,
10394448,490.7647072,,,,
10401520,215.8571396,,,,
10432912,277.8788928,,,,
10434224,256.7758299,,,,
10480784,247.5212531,,,,
10541296,88.69486815,,,,
10580624,55.47602823,,,,
10597088,499.5040132,,,,
10698752,197.8223609,,,,
10710032,43.43354902,,,,
10735792,568.9588346,,,,
10756016,535.8643529,,,,
10758320,0,,,,
10786144,610.9036751,,,,
10804224,142.5838462,,,,
10868080,340.6117125,,,,
10892384,40.40626254,,,,
10960672,442.3960807,,,,
10976304,93.05380493,,,,
10987120,566.2669788,,,,
10994432,0,,,,
11003728,13.12445758,,,,
11082144,0,,,,
11096112,51.3955329,,,,
11101760,331.9823133,,,,
11137296,320.4354572,,,,
