Wall time,Step,Value,,Metrics,Value,Rounded
1760591620,917792,580.3773804,,,,
1760591627,919456,775.9421387,,,,
1760591688,925724,573.6868286,,,,
1760591772,937228,257.6097412,,,,
1760591962,958988,57.05001068,,,,
1760591979,962316,691.6376343,,,,
1760591998,965548,412.6375732,,,,
1760592045,969836,431.2322998,,,,
1760592188,988036,674.2802124,,,,
1760592378,1010320,514.7366943,,,,
1760592435,1015872,637.4896851,,,,
1760592458,1020080,537.864624,,,,
1760592460,1020448,221.5292358,,,,
1760592596,1035720,678.9683838,,,,
1760592645,1040576,742.8467407,,,,
1760592809,1061680,580.8830566,,,,
1760592855,1065888,10.8272543,,,,
1760592865,1067540,753.1846313,,,,
1760592936,1076400,231.5059814,,,,
1760592958,1080324,549.7034302,,,,
1760593160,1104320,620.4974976,,,,
1760593279,1117948,425.0031128,,,,
1760593334,1123908,759.5075684,,,,
1760593397,1130612,508.2727051,,,,
1760593408,1132820,82.09849548,,,,
1760593484,1142164,0,,,,
1760593489,1143192,626.4171753,,,,
1760593631,1160664,566.8705444,,,,
1760593643,1162908,665.6157227,,,,
1760593670,1163616,372.4735413,,,,
1760593688,1166972,103.7529144,,,,
1760593702,1169468,534.6104736,,,,
1760593805,1180008,8.280986786,,,,
1760593841,1187124,496.5374146,,,,
1760593936,1196080,353.0635681,,,,
1760593953,1199484,702.9268188,,,,
1760594140,1221912,625.4032593,,,,
1760594170,1227552,668.9870605,,,,
1760594236,1235328,702.532959,,,,
1760594281,1239340,693.6083374,,,,
1760594352,1248216,701.1201172,,,,
1760594380,1252920,291.4707947,,,,
1760594420,1256168,713.0350342,,,,
1760594515,1269532,752.4329834,,,,
1760594565,1274780,0,,,,
1760594575,1276584,0,,,,
1760594622,1280596,722.3356323,,,,
1760594642,1284092,9.721261024,,,,
1760594679,1286292,408.8088379,,,,
1760594691,1288664,633.7830811,,,,
1760594710,1292144,783.7191772,,,,
1760594761,1297460,215.6675568,,,,
1760594770,1299000,235.6055756,,,,
1760594976,1325208,444.8093262,,,,
1760595017,1328516,159.2826385,,,,
1760595089,1337328,417.8870239,,,,
1760595099,1339348,359.0180054,,,,
1760595177,1349360,208.6543732,,,,
1760595232,1355164,103.0438919,,,,
1760595293,1361968,665.2392578,,,,
1760595519,1390432,147.349411,,,,
1760595657,1407080,302.9945679,,,,
1760595658,1407208,0,,,,
1760595698,1410552,508.5324097,,,,
1760595712,1413192,770.2312012,,,,
1760595728,1416024,529.4661865,,,,
1760595769,1419552,686.8170776,,,,
1760595788,1423092,537.9171143,,,,
1760595858,1432156,0,,,,
1760595997,1449492,508.2727051,,,,
1760596035,1452076,0,,,,
1760596097,1459420,318.117218,,,,
1760596131,1465304,689.7009888,,,,
1760596234,1474624,744.9776001,,,,
1760596313,1485928,671.1383667,,,,
1760596326,1488276,694.7550049,,,,
1760596388,1495636,418.171051,,,,
1760596393,1496592,580.3241577,,,,
1760596434,1500220,355.5689392,,,,
1760596467,1506424,366.5786133,,,,
1760596528,1513396,0,,,,
1760596571,1517104,822.4776001,,,,
1760596584,1519480,620.387085,,,,
1760596634,1524104,665.8152466,,,,
1760596646,1526300,330.1917419,,,,
1760596672,1530944,506.9581909,,,,
1760596805,1547060,548.5139771,,,,
1760596848,1550676,714.1272583,,,,
1760596916,1559040,274.4919128,,,,
1760596945,1564096,83.07854462,,,,
1760596977,1565940,577.9082642,,,,
1760597012,1572532,10.92663479,,,,
1760597137,1587564,552.3762817,,,,
1760597256,1601208,716.3515015,,,,
1760597331,1610400,302.5837402,,,,
1760597337,1611584,653.9256592,,,,
1760597341,1612224,690.1283569,,,,
1760597350,1613716,700.2518311,,,,
1760597449,1623980,277.9806824,,,,
1760597510,1631312,641.1035767,,,,
1760597534,1635892,237.2531586,,,,
1760597538,1636684,598.6561279,,,,
1760597614,1645884,596.4213867,,,,
1760597730,1660576,573.5125122,,,,
1760597739,1662348,5.496509075,,,,
1760597786,1666972,421.586853,,,,
1760597796,1668984,170.9178925,,,,
1760597802,1670092,584.447937,,,,
1760597845,1673588,295.6618958,,,,
1760597855,1675280,718.9489746,,,,
1760597981,1689520,459.8881226,,,,
1760598041,1696260,429.7982788,,,,
1760598057,1699436,368.0046997,,,,
1760598148,1712064,716.6709595,,,,
1760598174,1712536,458.6165466,,,,
1760598198,1717076,325.1808472,,,,
1760598215,1720004,436.3627319,,,,
1760598254,1722892,15.68525314,,,,
1760598336,1734484,661.664856,,,,
1760598390,1739936,527.418396,,,,
1760598393,1740468,279.8899536,,,,
1760598402,1741972,90.47254181,,,,
1760598447,1745988,658.5808105,,,,
1760598484,1752556,696.8830566,,,,
1760598514,1753736,434.9641418,,,,
1760598528,1756376,527.7564697,,,,
1760598534,1757392,178.7994843,,,,
1760598541,1758716,734.8322144,,,,
1760598665,1773752,0,,,,
1760598725,1780728,469.9872131,,,,
1760598790,1788188,180.2241821,,,,
1760598799,1789932,531.843811,,,,
1760598819,1793772,87.75722504,,,,
1760598847,1794468,144.1563721,,,,
1760598926,1804904,633.0775757,,,,
1760598947,1808460,402.9957275,,,,
1760598951,1809224,731.1459351,,,,
1760599021,1817620,143.4553986,,,,
1760599076,1823044,590.3591309,,,,
1760599121,1827084,543.5599976,,,,
1760599124,1827884,697.8371582,,,,
1760599145,1832236,325.7011414,,,,
1760599160,1834800,559.3071289,,,,
1760599198,1837752,284.5048523,,,,
1760599214,1840600,264.8970642,,,,
1760599319,1851432,384.8075867,,,,
1760599345,1856308,376.2721252,,,,
1760599401,1862968,5.158069611,,,,
1760599755,1907724,470.059021,,,,
1760599798,1911240,133.4403229,,,,
1760599819,1915168,268.2655029,,,,
1760599827,1916708,113.0906754,,,,
1760599874,1920936,385.536377,,,,
1760599924,1925796,649.2242432,,,,
1760600000,1935944,365.6759644,,,,
1760600059,1943544,420.0210876,,,,
1760600090,1949688,707.8455811,,,,
1760600191,1960308,613.604248,,,,
1760600245,1966136,504.8690796,,,,
1760600255,1968296,167.8525696,,,,
1760600285,1973408,1.016362667,,,,
1760600394,1985308,626.5411377,,,,
1760600462,1993752,0,,,,
1760600627,2015072,737.227356,,,,
1760600681,2020680,548.9054565,,,,
1760600686,2021628,191.5140533,,,,
1760600725,2024656,448.772522,,,,
1760600747,2028528,611.3009644,,,,
1760600807,2035240,83.77086639,,,,
1760600863,2041200,546.845459,,,,
1760600943,2051552,489.6078796,,,,
1760600994,2056376,600.647583,,,,
1760601013,2059952,481.236908,,,,
1760601018,2060952,0,,,,
1760601028,2062676,551.4299316,,,,
1760601134,2073536,108.2207413,,,,
1760601135,2073796,645.4420776,,,,
1760601205,2082016,528.3613281,,,,
1760601309,2096508,824.8772583,,,,
1760601350,2099788,55.23353958,,,,
1760601491,2117588,535.5268555,,,,
1760601503,2119820,433.3180847,,,,
1760601547,2123984,566.1610718,,,,
1760601576,2129016,629.921936,,,,
1760601580,2129768,782.6343994,,,,
1760601686,2140428,716.7718506,,,,
1760601692,2141516,0,,,,
1760601713,2145628,45.64709473,,,,
1760601745,2147164,140.137146,,,,
1760601846,2161920,631.0203247,,,,
1760601877,2163532,722.5115356,,,,
1760601971,2177784,424.7536926,,,,
1760602002,2179180,678.3320923,,,,
1760602003,2179396,344.9388733,,,,
1760602013,2181276,830.0233154,,,,
1760602088,2190800,490.6826782,,,,
1760602138,2195532,228.5301361,,,,
1760602146,2197440,708.9469604,,,,
1760602182,2203544,378.579895,,,,
1760602231,2208608,521.7562866,,,,
1760602433,2233564,550.5043335,,,,
1760602511,2243384,0,,,,
1760602563,2248900,715.9697266,,,,
1760602575,2250968,436.2548218,,,,
1760602613,2253696,597.8361816,,,,
1760602641,2258612,497.3042603,,,,
1760602708,2266476,734.8322144,,,,
1760602718,2268292,449.3669128,,,,
1760602720,2268668,680.0401611,,,,
1760602769,2273528,745.4889526,,,,
1760603030,2304176,331.4012451,,,,
1760603055,2308544,539.0206299,,,,
1760603119,2315908,498.9294434,,,,
1760603122,2316416,690.9873047,,,,
1760603170,2320820,589.8779907,,,,
1760603182,2322912,449.6376038,,,,
1760603189,2324116,346.7957153,,,,
1760603294,2335300,180.2241821,,,,
1760603376,2346428,620.9417725,,,,
1760603379,2347028,577.6379395,,,,
